cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
233,S_Artificial_budovaW.jpg,scenes,artificial,budova,0,0,0,25,0
319,S_Nature_skala4.jpg,scenes,nature,hory,0,0,0,25,1
55,F_TSFWfemale67-4neutral.jpg,faces,old,female,0,0,1,26,0
30,F_EMWmale22neutral.jpg,faces,young,male,0,0,0,26,0
315,S_Nature_skala13.jpg,scenes,nature,hory,0,0,0,26,0
89,F_TSFWmale79neutral.jpg,faces,old,male,0,0,0,26,0
36,F_EMWmale40neutral.jpg,faces,young,male,0,0,0,26,1
240,S_Artificial_hrad3.jpg,scenes,artificial,kulturni pamatka,0,0,1,27,0
300,S_Nature_pobrezi3.jpg,scenes,nature,hory-voda,1,0,0,27,0
5,F_EMWfemale20neutral.jpg,faces,young,female,0,0,0,27,0
158,O_magnifyingglass01b.jpg,objects,jine,x,0,0,0,27,0
238,S_Artificial_elektrarna.jpg,scenes,artificial,funkcni stavba,1,0,0,27,1
281,S_Nature_jezero3.jpg,scenes,nature,hory-voda,1,0,1,28,0
242,S_Artificial_hrad-reka.jpg,scenes,artificial,kulturni pamatka,1,0,0,28,0
283,S_Nature_jezero6.jpg,scenes,nature,hory-voda,1,0,0,28,0
110,O_birdie.jpg,objects,herni,x,0,0,0,28,0
54,F_TSFWfemale67-3neutral.jpg,faces,old,female,0,0,0,28,1
35,F_EMWmale32neutral.jpg,faces,young,male,0,0,1,29,0
282,S_Nature_jezero4.jpg,scenes,nature,hory-voda,1,0,0,29,0
230,S_Artificial_budova6.jpg,scenes,artificial,budova,0,0,0,29,0
301,S_Nature_pobrezi4.jpg,scenes,nature,hory-voda,1,0,0,29,0
15,F_EMWfemale27-3neutral.jpg,faces,young,female,0,0,0,29,1
116,O_brush05b.jpg,objects,nastroj,x,0,0,1,30,0
90,F_Wmale_65neutral.jpg,faces,old,male,0,0,0,30,0
108,O_binder03b.jpg,objects,jine,x,0,0,0,30,0
81,F_TSFWmale74neutral.jpg,faces,old,male,0,0,0,30,0
143,O_hairclip03.jpg,objects,jine,x,0,0,0,30,1
189,O_thumbtack02a.jpg,objects,nastroj,x,0,0,1,31,0
284,S_Nature_jezero7.jpg,scenes,nature,hory-voda,1,0,0,31,0
186,O_teapot.jpg,objects,kuchyn,x,0,0,0,31,0
105,O_beermug01a.jpg,objects,kuchyn,x,0,0,0,31,0
138,O_fork03c.jpg,objects,kuchyn,x,0,0,0,31,1
